Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,3,1,500,15000,NaN,,0,1,0.124856493879974,0.124123917516461,0.480544,30193.4700025331,142.414899633572,99.3592323024918
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,4,1,500,15000,NaN,,0,1,0.0214428356333765,0.0115977140409264,0.11784,7404.10556598045,580.758872450057,405.180608686086
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,1,1,500,15000,NaN,,0,1,0.396146095394111,0.396231986787295,0.577152,36263.5296640931,118.576433122496,82.7277440389509
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,2,1,500,15000,NaN,,0,1,0.649422608094298,0.650263549895168,2.065936,129806.587207734,33.1262079413472,23.1113078660562
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,3,1,500,15000,NaN,,0,1,0.136481594363489,0.136356013041999,0.53712,33748.244921923,127.414033231894,88.8935115571355
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,4,1,500,15000,NaN,,0,1,0.0134445615116299,0.00847699105352365,0.0657024000000004,4128.20354326439,1041.6153067394,726.708353539114
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,1,1,500,11250.0000000005,50,500;550;600,0.0225506884287091,1,0.239986940444684,0.173141104698345,0.362304,22764.2316953239,188.892823511512,131.785690821985
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,2,1,500,11250.0000000005,50,500;550;600,0.000458835708418734,1,0.0157674216027859,0.0146228502757624,0.0323039999999996,2029.72018163127,2118.51862089883,1478.03624713872
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,3,1,500,11250.0000000005,50,500;550;600,0.00281737854617706,1,0.0369757230625718,0.0202823700336848,0.101647999999999,6386.73220104187,673.270753281082,469.723781358894
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,4,1,500,11250.0000000005,50,500;550;600,0.00367501495405455,1,0.105226231911249,0.0121130222665915,0.2880576,18099.1927994142,237.579656046273,165.753248404377
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1,1,2500,75000,NaN,,0,1,1.05576333481325,1.06558248060334,1.513808,475576.809174546,9.04165198354283,6.30812929084383
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,2,1,2500,75000,NaN,,0,1,1.00316993894355,1.04446528785016,2.61344,821036.390459771,5.23728308509206,3.65391843145958
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,3,1,2500,75000,NaN,,0,1,0.327761837827408,0.322136451632792,0.938608,294872.399740061,14.5825787825194,10.1738921738508
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,4,1,2500,75000,NaN,,0,1,0.0260484164585873,0.0125767215734877,0.0942,29593.8027968158,145.300691145467,101.372575217768
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,1,1,2500,75000,NaN,,0,1,0.604946027027205,0.612034088235233,0.898128,282155.232678329,15.2398378693271,10.6324450251119
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,2,1,2500,75000,NaN,,0,1,0.805011745345373,0.795028526965748,2.382816,748583.724045622,5.74418045954996,4.00756776247672
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,3,1,2500,75000,NaN,,0,1,0.218364550758222,0.224395169196491,0.6495904,204074.842848245,21.0707010231417,14.7004890859128
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,4,1,2500,75000,NaN,,0,1,0.0165583350660627,0.0104787951517081,0.0840272,26397.923422172,162.891600647207,113.645302777121
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,1,1,2500,75000,NaN,,0,1,0.718894452336363,0.717827680872566,1.05508,331463.157694952,12.9727841546641,9.05077964278891
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,2,1,2500,75000,NaN,,0,1,0.866345328062657,0.914091577585906,2.639888,829345.274709985,5.18481280490044,3.61731125923286
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,3,1,2500,75000,NaN,,0,1,0.252226642543884,0.246851421587694,0.7370848,231562.01927527,18.5695392252058,12.9554924827017
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,4,1,2500,75000,NaN,,0,1,0.0181240181151973,0.0110903499282141,0.0852856,26793.2614416998,160.488114123639,111.968451714167
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,1,1,2500,75000,NaN,,0,1,0.831981225749716,0.836799481990958,1.1994,376802.62287156,11.4118101599992,7.96172801860407
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,2,1,2500,75000,NaN,,0,1,0.95216031927402,0.923435555477258,2.59208,814325.948551703,5.28044084515254,3.68402849661805
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,3,1,2500,75000,NaN,,0,1,0.279114694589877,0.291082286699529,0.805792,253147.022752143,16.9861764647738,11.8508207893771
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,4,1,2500,75000,NaN,,0,1,0.017701172191694,0.0118938404925424,0.0721951999999992,22680.7909944443,189.587744142314,132.270519169056
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1,1,10000,300000,NaN,,0,1,0.93579021238737,0.947313767628262,1.38128,1735767.6402202,2.47729010517473,1.72834193384283
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,2,1,10000,300000,NaN,,0,1,0.0386346138192165,0.0189076884034844,0.1454752,182809.527839802,23.5217499372797,16.4105232120556
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,3,1,10000,300000,NaN,,0,1,0.0333799930113833,0.0286941260889674,0.1325216,166531.554000786,25.8209324100807,18.014604007033
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,4,1,10000,300000,NaN,,0,1,0.025228682090034,0.0152847557874627,0.120560000000001,151500.164126715,28.3828075354656,19.8019587456737
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,1,1,10000,300000,NaN,,0,1,1.47063009464107,1.4764407445556,2.131856,2678969.25924453,1.60509493909333,1.11983367843721
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,2,1,10000,300000,NaN,,0,1,0.00524059868335672,0.00241811688011648,0.0169888,21348.7557093225,201.416890920827,140.523412270345
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,3,1,10000,300000,NaN,,0,1,0.0457618705911374,0.0442196199824024,0.16308,204932.371978969,20.9825317419411,14.6389756339124
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,4,1,10000,300000,NaN,,0,1,0.0266071617426587,0.0215770300772262,0.0987120000000004,124045.157608463,34.6647953285896,24.184740926923
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,1,1,10000,300000,NaN,,0,1,1.37429319957569,1.3702020416105,2.05304,2579926.1526104,1.66671437306421,1.16282398120759
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,2,1,10000,300000,NaN,,0,1,0.015865669382664,0.00691246861219272,0.0622752,78257.324328334,54.9469335542198,38.3350699215487
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,3,1,10000,300000,NaN,,0,1,0.042530284092162,0.0434366151924801,0.1552752,195124.571041874,22.0372041155043,15.3747935689565
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,4,1,10000,300000,NaN,,0,1,0.0268650720453157,0.0199946691428171,0.103648,130247.91814371,33.0139633806319,23.0329977074176
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,1,1,10000,300000,NaN,,0,1,1.26610891401332,1.26726470742651,1.843184,2316213.3254457,1.85647839633794,1.29521748581717
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,2,1,10000,300000,NaN,,0,1,0.00526553558149596,0.00241556029043219,0.0162752,20452.0195022818,210.248185980863,146.684780916882
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,3,1,10000,300000,NaN,,0,1,0.0394541044475729,0.039356387866394,0.1261168,158483.044949701,27.1322399273986,18.9294697167898
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,4,1,10000,300000,NaN,,0,1,0.0239168947817228,0.0180917079463407,0.0855119999999999,107457.548397508,40.0158021853746,27.91800152468
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,1,1,10000,300000,NaN,,0,1,1.15533350187035,1.15294912196381,1.715616,2155906.64879244,1.99452049670541,1.39152592793401
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,2,1,10000,300000,NaN,,0,1,0.00514919178124101,0.00254301420287662,0.016368,20568.6354215831,209.056163030043,145.853136997705
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,3,1,10000,300000,NaN,,0,1,0.0382499869803899,0.0371654819341319,0.139264,175004.303723812,24.5708243083334,17.1424355639536
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,4,1,10000,300000,NaN,,0,1,0.024967691122729,0.0174031669082371,0.11312,142150.784389631,30.2495692757757,21.1043506575179
