Band,Capture,Stage,Used,ExclusionReason,LinearSubsamples,RetainedSweepFraction
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP,0,"descartada: saturación de CH4 sin tramo lineal suficiente",0,0.0048886474741988
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,BP,1,"usada completa",1,1
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP,0,"descartada: saturación de CH4 sin tramo lineal suficiente",0,0.00760456273764259
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,COMP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,LP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,LP_PGA,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,COMP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,LP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,LP_PGA,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,COMP,1,"usada completa",1,1
