FrequencyHz,ModelMaximumSinePeakV,DataSheetMinimumMaximumSinePeakV
36971.9342334198,18.5104260700684,12.9142507465594
39666.1833035754,17.2531410460523,12.0370751484086
42556.7698984653,16.0812546846942,11.2194800125774
45658.0016869855,14.9889664463836,10.4574184509653
48985.2289781972,13.9708697819858,9.74711845254822
52554.9207014548,13.0219253717988,9.0850642128829
56384.7459234199,12.1374361822014,8.46797873176842
60493.6613054507,11.3130242165304,7.89280759292817
64902.0049342561,10.5446088451103,7.3567038454258
69631.5969902565,9.82838660717365,6.85701391198161
74705.8477519292,9.16081238469685,6.39126445443966
80149.873470737,8.53858185496718,5.95715013137245
85990.6206901891,7.9586151350252,5.55252218722688
92256.999624381,7.41804153702708,5.17537781653052
98980.0272562067,6.91418535906935,4.8238502505135
106192.980863539,6.4445526411447,4.4961995170777
113931.562733297,6.00681882067382,4.19080382837708
122234.076878691,5.59881722651151,3.90615155338013
131141.618634352,5.21852835447528,3.64083373568043
140698.278067791,4.86406987131293,3.39353711952065
150951.358214027,4.53368729763146,3.16303764951032
161951.609213587,4.22574532367002,2.9481944118628
173753.479512801,3.93871971493228,2.74794398716205
186415.385369771,3.67118976761306,2.56129518670679
200000,3.42183127647575,2.38732414637843
