Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,4,0.584,0.676,0.092,0.676,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,1,1.24,0.72,-0.52,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,2,1.56,0.9,-0.66,0.9,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,3,0.82,0.48,-0.34,0.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,4,1.92,1.36,-0.56,1.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,1,3.28,1.8,-1.48,1.8,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,2,0.888,0.64,-0.248,0.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,3,0.96,0.6,-0.36,0.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,4,4.48,2.48,-2,2.48,2.3,265,0.147140477512493,1,1,automático,|V| >= 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1,3.28,1.8,-1.48,1.8,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,2,0.28,0.128,-0.152,0.152,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,3,0.984,0.584,-0.4,0.584,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,4,4.4,2.48,-1.92,2.48,2.3,377,0.209328151027207,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1,3.2,1.6,-1.6,1.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,2,3.6,1.84,-1.76,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,3,0.19,0.09,-0.1,0.1,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,4,0.804,0.508,-0.296,0.508,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1,3.52,1.76,-1.76,1.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,2,3.92,2,-1.92,2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,3,0.222,0.118,-0.104,0.118,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,4,0.676,0.364,-0.312,0.364,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,1,4.24,2.12,-2.12,2.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,2,4.32,2.24,-2.08,2.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,3,0.24,0.112,-0.128,0.128,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,4,0.736,0.384,-0.352,0.384,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,1,4.64,2.32,-2.32,2.32,2.3,8,0.00444197667962243,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,2,4.36,2.24,-2.12,2.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,3,0.274,0.122,-0.152,0.152,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,4,0.912,0.428,-0.484,0.484,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0003_F0003,1,3.24,1.68,-1.56,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0003_F0003,2,3.6,1.88,-1.72,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0003_F0003,3,0.332,0.17,-0.162,0.17,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0003_F0003,4,0.68,0.652,-0.028,0.652,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0004_F0004,1,3.24,1.68,-1.56,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0004_F0004,2,3.64,1.88,-1.76,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0004_F0004,3,0.194,0.08,-0.114,0.114,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,XD_ALL0004_F0004,4,0.72,0.792,0.072,0.792,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_ALL0000_F0000,1,1.2,0.72,-0.48,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_ALL0000_F0000,2,1.52,0.92,-0.6,0.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_ALL0000_F0000,3,0.82,0.54,-0.28,0.54,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_ALL0000_F0000,4,1.72,1.16,-0.56,1.16,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,2,3.32,1.84,-1.48,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,3,0.912,0.584,-0.328,0.584,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,4,4.28,2.44,-1.84,2.44,2.3,158,0.087729039422543,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1,3.36,1.84,-1.52,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,2,3.68,2.08,-1.6,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,3,1.024,0.64,-0.384,0.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,4,4.48,2.44,-2.04,2.44,2.3,397,0.220433092726263,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1,3.68,2,-1.68,2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
